colormap,melanopic_ratio,mp_spread,range_min,range_max
sodium (melanopy),0.2882,0.0675,0.1416,0.3705
hot,0.4382,0.247,0.0025,1.0
copper,0.4859,0.0278,0.4562,0.6319
inferno,0.4967,0.4513,0.2284,4.2298
afmhot,0.566,0.2403,0.0025,1.0
cividis,0.7156,0.4432,0.4041,3.4256
magma,0.7162,0.5324,0.3966,4.2552
plasma,0.7221,1.0186,0.3427,7.648
turbo,0.7949,0.723,0.0251,3.3173
viridis,0.834,0.5559,0.3951,3.0685
jet,0.9676,1.3993,0.0025,8.6954
equilux (melanopy),0.9992,0.1603,0.8227,1.5765
gray,1.0,0.0,1.0,1.0
Blues,1.3337,0.4023,1.0281,3.2008
xenon (melanopy),1.7284,0.4229,1.29,3.5606
winter,1.7599,1.7993,0.6926,8.6954
cool,2.0611,0.578,1.2693,2.9813
