wavelength_nm,primary_R,primary_G,primary_B,display_white,illuminant_E,illuminant_A,D65
380,6.47341e-93,7.65398e-23,1.1968e-16,5.7467e-18,1,9.7951,49.9755
381,3.64888e-92,1.50586e-22,2.97567e-16,1.42883e-17,1,10.0096,50.4428
382,2.04228e-91,2.9493e-22,7.31427e-16,3.51209e-17,1,10.2273,50.91
383,1.135e-90,5.75023e-22,1.77738e-15,8.53447e-17,1,10.4481,51.3773
384,6.26338e-90,1.11606e-21,4.26988e-15,2.05027e-16,1,10.6722,51.8445
385,3.43201e-89,2.15636e-21,1.01409e-14,4.86934e-16,1,10.8996,52.3118
386,1.86731e-88,4.14754e-21,2.381e-14,1.14328e-15,1,11.1302,52.7791
387,1.00882e-87,7.94134e-21,5.52671e-14,2.65376e-15,1,11.364,53.2464
388,5.41174e-87,1.51367e-20,1.26823e-13,6.08967e-15,1,11.6012,53.7136
389,2.88264e-86,2.87212e-20,2.8771e-13,1.3815e-14,1,11.8416,54.1809
390,1.52465e-85,5.42511e-20,6.45263e-13,3.09836e-14,1,12.0853,54.6482
391,8.0072e-85,1.02011e-19,1.43068e-12,6.86969e-14,1,12.3324,57.4589
392,4.17559e-84,1.90951e-19,3.13597e-12,1.5058e-13,1,12.5828,60.2695
393,2.16214e-83,3.5582e-19,6.79557e-12,3.26303e-13,1,12.8366,63.0802
394,1.11168e-82,6.60043e-19,1.45581e-11,6.99036e-13,1,13.0938,65.8908
395,5.67547e-82,1.21885e-18,3.08324e-11,1.48048e-12,1,13.3543,68.7015
396,2.87709e-81,2.24057e-18,6.45558e-11,3.09977e-12,1,13.6182,71.5122
397,1.44821e-80,4.10019e-18,1.33625e-10,6.41626e-12,1,13.8855,74.3229
398,7.23836e-80,7.46934e-18,2.7344e-10,1.31298e-11,1,14.1563,77.1335
399,3.59233e-79,1.35455e-17,5.53176e-10,2.65619e-11,1,14.4304,79.9442
400,1.77027e-78,2.44535e-17,1.10634e-09,5.31231e-11,1,14.708,82.7549
401,8.6623e-78,4.39464e-17,2.18745e-09,1.05035e-10,1,14.9891,83.628
402,4.20876e-77,7.86209e-17,4.27574e-09,2.05308e-10,1,15.2736,84.5011
403,2.0305e-76,1.40019e-16,8.26245e-09,3.96738e-10,1,15.5616,85.3742
404,9.72705e-76,2.48239e-16,1.57845e-08,7.57925e-10,1,15.853,86.2473
405,4.62687e-75,4.38115e-16,2.98111e-08,1.43144e-09,1,16.148,87.1204
406,2.18535e-74,7.69733e-16,5.56608e-08,2.67266e-09,1,16.4464,87.9935
407,1.02491e-73,1.34625e-15,1.02741e-07,4.93333e-09,1,16.7484,88.8666
408,4.77282e-73,2.34393e-15,1.87484e-07,9.00243e-09,1,17.0538,89.7398
409,2.20696e-72,4.06256e-15,3.38228e-07,1.62407e-08,1,17.3628,90.6129
410,1.01331e-71,7.00951e-15,6.03223e-07,2.8965e-08,1,17.6753,91.486
411,4.61974e-71,1.20395e-14,1.06358e-06,5.107e-08,1,17.9913,91.6806
412,2.09133e-70,2.05857e-14,1.85391e-06,8.90192e-08,1,18.3108,91.8752
413,9.40057e-70,3.50394e-14,3.1947e-06,1.534e-07,1,18.6339,92.0697
414,4.1958e-69,5.9372e-14,5.44248e-06,2.61331e-07,1,18.9605,92.2643
415,1.85953e-68,1.00148e-13,9.16615e-06,4.40131e-07,1,19.2907,92.4589
416,8.18317e-68,1.68164e-13,1.52617e-05,7.3282e-07,1,19.6244,92.6535
417,3.57575e-67,2.811e-13,2.51213e-05,1.20625e-06,1,19.9617,92.8481
418,1.55146e-66,4.67758e-13,4.08795e-05,1.96291e-06,1,20.3026,93.0426
419,6.68411e-66,7.74848e-13,6.57648e-05,3.15783e-06,1,20.647,93.2372
420,2.8594e-65,1.27775e-12,0.000104594,5.02228e-06,1,20.995,93.4318
421,1.2146e-64,2.09754e-12,0.000164453,7.89656e-06,1,21.3465,92.7568
422,5.12296e-64,3.42773e-12,0.000255625,1.22744e-05,1,21.7016,92.0819
423,2.14554e-63,5.57621e-12,0.000392816,1.88619e-05,1,22.0603,91.4069
424,8.92238e-63,9.03035e-12,0.00059676,2.86546e-05,1,22.4225,90.732
425,3.68428e-62,1.45581e-11,0.00089626,4.30357e-05,1,22.7883,90.057
426,1.51061e-61,2.33635e-11,0.00133074,6.38981e-05,1,23.1577,89.3821
427,6.1501e-61,3.73256e-11,0.00195333,9.37932e-05,1,23.5307,88.7071
428,2.48622e-60,5.93621e-11,0.00283455,0.000136106,1,23.9072,88.0322
429,9.97988e-60,9.39823e-11,0.00406645,0.000195259,1,24.2873,87.3572
430,3.97777e-59,1.48121e-10,0.00576729,0.000276928,1,24.6709,86.6823
431,1.57428e-58,2.32392e-10,0.00808635,0.000388283,1,25.0581,88.5006
432,6.1866e-58,3.62961e-10,0.0112088,0.000538211,1,25.4489,90.3188
433,2.41408e-57,5.6433e-10,0.0153599,0.000737535,1,25.8432,92.1371
434,9.35358e-57,8.73454e-10,0.0208085,0.000999163,1,26.2411,93.9553
435,3.5986e-56,1.3458e-09,0.0278689,0.00133818,1,26.6425,95.7736
436,1.37473e-55,2.06422e-09,0.0368996,0.00177181,1,27.0475,97.5919
437,5.2147e-55,3.15185e-09,0.0483002,0.00231923,1,27.456,99.4102
438,1.96413e-54,4.79082e-09,0.062503,0.0030012,1,27.8681,101.228
439,7.34579e-54,7.24916e-09,0.0799606,0.00383947,1,28.2836,103.047
440,2.72795e-53,1.09194e-08,0.101129,0.00485592,1,28.7027,104.865
441,1.00591e-52,1.63736e-08,0.126445,0.0060715,1,29.1253,106.079
